Smiles,Set,Actual_pIC50,Predicted_pIC50
CC(C)C[C@@H](C(=O)N)NC(=O)C1(CC1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC2=CNC3=C2C=CC(=C3)Cl)NC(=O)[C@H](CC4=CC=C(C=C4)CP(=O)(O)O)NC(=O)C(C)(C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)C,train,8.301029996,8.178217442883442
CC[C@@H](CS(=O)(=O)CC1CCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,train,9.301029996,9.447108768070622
C1CC1(CO)COC2(C3=CC=CC=C3C(=O)N2CC4=CC=C(C=C4)C#N)C5=CC=C(C=C5)Cl,train,5.744727495,5.851262915973954
CCN1[C@H]([C@@]2([C@H]([C@@H]1C(=O)NC3CC(C3)(C)O)C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC2=O)CC(C)(C)C,train,7.0,6.792517573208498
CC(C)NS(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,train,10.00877392,9.907734349322238
CC(C)(C)C[C@@H]1[C@]2([C@H]([C@@H](N1)C(=O)NCC[C@@H](CO)O)C3=NC=CC(=C3)Cl)C4=CC(=C(C=C4NC2=O)Cl)F,train,5.0,5.325490020865185
CC(C)(C)C[C@H]1[C@@]2([C@H]([C@@H](N1)C(=O)NC3=C(C=C(C=C3)C(=O)N)OC)C4=C(C(=CC=C4)Cl)F)C5=C(C=CN=C5)NC2=O,train,6.853871964,6.953504577797798
CCCN(C(C)=O)C1CCC(N2C(=O)Cc3cc(OC)c(OC(C)C)cc3C2c2ccc(Cl)cc2)CC1,train,7.102372909,7.456114534832259
CC[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(C)(=O)=O)C2CC2)C1=O,train,9.522878745,9.543431476874481
CN1[C@@H]([C@@H](OCC1=O)C2=CC=C(C=C2)Br)C3=CC=C(C=C3)Br,train,5.26760624,5.496053696895733
